item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q105989458,NormalRank,Q6581072,true,false,,,,
Q106631627,NormalRank,Q6581097,true,false,,,,
Q108419389,NormalRank,Q6581097,true,false,,,,
Q108783686,,,,false,,,,
Q1103939,NormalRank,Q6581097,true,false,,,,
Q110666454,NormalRank,Q6581097,true,true,false,false,false,true
Q110703827,NormalRank,Q6581097,true,false,,,,
Q111131079,NormalRank,Q6581097,true,false,,,,
Q111184239,NormalRank,Q6581072,true,false,,,,
Q111223572,NormalRank,Q6581072,true,false,,,,
Q112030717,NormalRank,Q6581097,true,false,,,,
Q112391604,NormalRank,Q6581072,true,false,,,,
Q113623274,NormalRank,Q6581072,true,false,,,,
Q113961437,NormalRank,Q6581097,true,false,,,,
Q114341246,NormalRank,Q6581097,true,false,,,,
Q114698645,NormalRank,Q6581097,true,false,,,,
Q114698675,NormalRank,Q6581097,true,false,,,,
Q114698785,NormalRank,Q6581097,true,false,,,,
Q114698846,NormalRank,Q6581097,true,false,,,,
Q114698848,,,,false,,,,
Q114698849,NormalRank,Q6581097,true,false,,,,
Q114698850,,,,false,,,,
Q114698851,,,,false,,,,
Q114698852,NormalRank,Q6581097,true,false,,,,
Q114698853,NormalRank,Q6581072,true,false,,,,
Q114702891,NormalRank,Q6581097,true,false,,,,
Q114702905,NormalRank,Q6581097,true,false,,,,
Q114702953,NormalRank,Q6581097,true,false,,,,
Q114702996,NormalRank,Q6581097,true,false,,,,
Q114702997,NormalRank,Q6581072,true,false,,,,
Q114702998,NormalRank,Q6581072,true,false,,,,
Q114702999,NormalRank,Q6581072,true,false,,,,
Q114703367,NormalRank,Q6581097,true,false,,,,
Q114703368,NormalRank,Q6581097,true,false,,,,
Q114703369,NormalRank,Q6581097,true,false,,,,
Q114703370,NormalRank,Q6581097,true,false,,,,
Q114703371,NormalRank,Q6581072,true,false,,,,
Q114703372,NormalRank,Q6581097,true,false,,,,
Q114703373,NormalRank,Q6581097,true,false,,,,
Q114703374,NormalRank,Q6581097,true,false,,,,
Q114703375,NormalRank,Q6581097,true,false,,,,
Q114703376,NormalRank,Q6581097,true,false,,,,
Q114703377,NormalRank,Q6581097,true,false,,,,
Q114703378,NormalRank,Q6581097,true,false,,,,
Q114703379,NormalRank,Q6581097,true,false,,,,
Q114703380,NormalRank,Q6581097,true,false,,,,
Q114703381,NormalRank,Q6581072,true,false,,,,
Q114703382,NormalRank,Q6581097,true,false,,,,
Q114703383,NormalRank,Q6581097,true,false,,,,
Q114703384,NormalRank,Q6581097,true,false,,,,
Q114835874,NormalRank,Q6581097,true,false,,,,
Q1232182,NormalRank,Q6581097,true,false,,,,
Q12897461,NormalRank,Q6581097,true,false,,,,
Q16105972,NormalRank,Q6581097,true,false,,,,
Q16188989,NormalRank,Q6581097,true,false,,,,
Q1627285,NormalRank,Q6581097,true,false,,,,
Q1723580,NormalRank,Q6581097,true,false,,,,
Q18402168,NormalRank,Q6581097,true,false,,,,
Q19628964,NormalRank,Q6581097,true,false,,,,
Q20978710,NormalRank,Q6581097,true,false,,,,
Q21029300,NormalRank,Q6581097,true,false,,,,
Q21062160,NormalRank,Q6581097,true,false,,,,
Q21066017,NormalRank,Q6581097,true,false,,,,
Q21979800,NormalRank,Q6581072,true,false,,,,
Q22043905,NormalRank,Q6581097,true,false,,,,
Q25115075,NormalRank,Q6581097,true,false,,,,
Q26036365,NormalRank,Q6581097,true,false,,,,
Q3333014,NormalRank,Q6581097,true,false,,,,
Q354710,NormalRank,Q6581097,true,true,false,false,false,true
Q3576507,NormalRank,Q6581097,true,false,,,,
Q39027266,NormalRank,Q6581072,true,false,,,,
Q430907,NormalRank,Q6581072,true,false,,,,
Q434742,NormalRank,Q6581097,true,true,false,false,false,true
Q51210626,NormalRank,Q6581097,true,false,,,,
Q599988,NormalRank,Q6581097,true,true,true,false,false,false
Q60813372,NormalRank,Q6581097,true,true,false,false,false,true
Q620581,NormalRank,Q6581097,true,false,,,,
Q722327,NormalRank,Q6581097,true,true,false,false,false,true
Q7459009,NormalRank,Q6581097,true,false,,,,
Q7565025,NormalRank,Q6581097,true,true,true,false,false,false
Q78185212,NormalRank,Q6581097,true,false,,,,
Q8062562,NormalRank,Q6581097,true,false,,,,
Q85854637,,,,false,,,,
Q86735870,NormalRank,Q6581072,true,false,,,,
Q88312064,NormalRank,Q6581097,true,true,false,false,false,true
Q88503664,NormalRank,Q6581097,true,false,,,,
Q88720923,NormalRank,Q6581072,true,false,,,,
Q89000319,NormalRank,Q6581097,true,false,,,,
Q97365430,NormalRank,Q6581072,true,false,,,,
Q98846914,NormalRank,Q6581097,true,false,,,,
Q57324,NormalRank,Q6581097,true,true,false,false,false,true
Q57324,NormalRank,Q6581097,true,true,true,false,false,false
Q57882,NormalRank,Q6581097,true,false,,,,
Q58205,NormalRank,Q6581097,true,true,false,true,false,false
