item,itemLabel,position,positionLabel,startDate,endDate
Q1103939,Clément Sawadogo,,Ministère de l’Administration Territoriale et de la Décentralisation,2021-01-10,
Q19628964,Chériff Sy,,Ministère de la Défense nationale et des Anciens Combattants,2021-01-10,
,Ousséni Compaoré,,Ministère de la Sécurité,2021-01-10,
Q25115075,Alpha Barry,,"Ministère des Affaires étrangères, de la Coopération, de l’Intégration africaine et des Burkinabè de l’Extérieur",2021-01-10,
,Lassané Kaboré,,"Ministère de l’Economie, des Finances et du Développement",2021-01-10,
,Victoria Ouédraogo,,"Ministère de la Justice, des Droits humains et de la Promotion civique, Garde des Sceaux",2021-01-10,
Q12897461,Stanislas Ouaro,,"Ministère de l’Education nationale, de l’Alphabétisation et de la Promotion des Langues nationales",2021-01-10,
,Charlemagne Ouédraogo,,Ministère de la Santé,2021-01-10,
,Alkassoum Maïga,,"Ministère de l’Enseignement supérieur, de la Recherche scientifique et de l’Innovation",2021-01-10,
,Séni Mahamadou Ouedraogo,,"Ministère de la Fonction publique, du Travail et de la Protection sociale",2021-01-10,
Q86735870,Laurence Ilboudo née Marchal,,"Ministère de la Femme, de la Solidarité nationale, de la Famille et de l’Action humanitaire",2021-01-10,
Q39027266,Hadja Fatimata Ouattara,,"Ministère de l’Économie numérique, des postes et de la Transformation digitale",2021-01-10,
Q108419389,Ousséni Tamboura,,"Ministère de la Communication et des Relations avec le Parlement, Porte-parole du Gouvernement",2021-01-10,
Q85854637,Salifou Ouedraogo,,"Ministère de l’Agriculture, des Aménagements hydro-agricoles et de la Mécanisation",2021-01-10,
,Ousmane Nacro,,Ministère de l’Eau et de l’Assainissement,2021-01-10,
Q26036365,Éric Bougouma,,Ministère des Infrastructures et du Désenclavement,2021-01-10,
Q51210626,Bachir Ouédraogo,,"Ministère de l’Énergie, des Mines et des Carrières",2021-01-10,
,Vincent Dabilgou,,"Ministère des Transports, de la Mobilité urbaine et de la Sécurité routière",2021-01-10,
Q88503664,Harouna Kaboré,,"Ministère de l’Industrie, du Commerce et de l’Artisanat",2021-01-10,
,Modeste Yerbanga,,Ministère des Ressources animales et halieutiques,2021-01-10,
,Salifo Tiemtoré,,"Ministère de la Jeunesse, de la Promotion de l’Entrepreneuriat et de l’Emploi",2021-01-10,
Q722327,Bénéwendé Sankara,,"Ministère de l’Urbanisme, de l’Habitat et de la Ville",2021-01-10,
,Siméon Sawadogo,,"Ministère de l’Environnement, de l’Economie verte et du Changement climatique",2021-01-10,
Q105989458,Elise Ilboudo,,"Ministère de la Culture, des Arts et du Tourisme",2021-01-10,
Q108783686,Dominique Nana,,Ministère des Sports et des Loisirs,2021-01-10,
