positionLabel,gender,itemLabel
"Ministre d'État, Ministre auprès du Président du Faso, chargé de la Réconciliation nationale et de la Cohésion sociale",male,"Zéphirin DIABRE"
"Ministre des Armées et des Anciens Combattants",male,"Aimé Barthelemy SIMPORE"
"Ministre de l'Administration territoriale, de la Décentralisation et de la Sécurité",male,"Maxime KONE"
"Ministre des Affaires étrangères, de la Coopération et des Burkinabè de l'Extérieur",female,"Hadizatou Rosine Sori-COULIBALY"
"Ministre de l'Économie, des Finances et du Plan",male,"Lassané KABORE"
"Ministre de la Justice, des Droits Humains et de la Promotion Civique, Garde des Sceaux",female,"Victoria OUEDRAOGO/KIBORA"
"Ministre de l'Éducation nationale, de l'Alphabétisation et de la Promotion des Langues nationales",male,"Stanislas OUARO"
"Ministre de la Santé, de l'Hygiène Publique et du Bien-être",male,"Charlemagne Marie Ragnag-Newendé OUEDRAOGO"
"Ministre de l'Enseignement Supérieur, de la Recherche et de l'Innovation. Porte-parole du Gouvernement",male,"Alkassoum MAÏGA"
"Ministre de la Fonction Publique, du Travail et de la Protection sociale",male,"Séni Mahamadou OUEDRAOGO"
"Ministre de la Prospective et des Réformes Structurelles",male,"Abdoulaye BAMOGO"
"Ministre du Développement Urbain, de l'Habitat et de la Ville",male,"Bénéwendé Stanislas SANKARA"
"Ministre du Genre, de la Solidarité nationale, de la Famille et de L’Action humanitaire",female,"Fati OUEDRAOGO/ZIZIEN"
"Ministre de la Transition digitale, des Postes et des Communications Électroniques",female,"Hadja Fatimata OUATTARA/SANON"
"Ministre de la Transition Écologique et de l'Environnement",male,"Smaila OUEDRAOGO"
"Ministre de la Communication, des Relations avec le Parlement, de la Culture, des Arts, et du Tourisme",male,"Ousséni TAMBOURA"
"Ministre des Transports, de la Mobilité urbaine et de la Sécurité routière",male,"Vincent Timbindi DABILGOU"
"Ministre de l'Agriculture, des Aménagements Hydro-agricoles, de la Mécanisation et des Ressources animales et halieutiques",male,"Moussa KABORE"
"Ministre de l'Eau et de l'Assainissement",male,"Ousmane NACRO"
"Ministre des Infrastructures et du Désenclavement",male,"Ollo Franck KANSIE"
"Ministre de la Transition Énergétique, des Mines et des Carrières",male,"Bachir Ismaël OUEDRAOGO"
"Ministre du Développement industriel, du Commerce, de l'Artisanat et des Petites et Moyennes Entreprises",male,"Christophe ILBOUDO"
"Ministre des Sports, de l'Autonomisation des Jeunes et de l'Emploi",male,"Mathias TANKOANO"
"Ministre Déléguée auprès du Ministre de l'Économie, des Finances et du Plan, chargée du Budget",female,"Martine KOUDA/PABEYAM"
"Ministre Déléguée auprès du Ministre de la Communication, des Relations avec le Parlement, de la Culture, des Arts et du Tourisme, chargée de la Culture, des Arts et du Tourisme",female,"Bowendsom Claudine Valérie ROUAMBA/OUEDRAOGO"
