positionlabel,position
"Ministre Délégué auprès du Ministre de l’Économie, des Finances et de la Prospective, chargé du Budget",Q114702976
"Ministre Délégué auprès du Ministre des Affaires Étrangères, de la Coopération Régionale et des Burkinabé de l’Extérieur, chargé de la Coopération",Q114702981
"Ministre de la Communication, de la Culture, des Arts et du Tourisme",Q114698027
"Ministre de la Fonction Publique, du Travail et de la Protection Sociale",Q114698388
"Ministre de la Justice et des Droits Humains, chargé des relations avec les institutions, Garde des Sceaux",Q114698148
Ministre de la Santé et de l’Hygiène Publique,Q112030491
Ministre de la Solidarité Nationale et de l’Action Humanitaire,Q114703304
"Ministre de la Transition Digitale, des Postes et des Communications Électroniques",Q113623389
"Ministre de l’Administration Territoriale, de la Décentralisation et de la Sécurité",Q114698173
"Ministre de l’Agriculture, des Ressources Animales et Halieutiques",Q114698182
"Ministre de l’Education Nationale, de l’Alphabétisation et de la Promotion des Langues Nationales",Q112709348
"Ministre de l’Enseignement Supérieur, de la Recherche et de l’Innovation",Q114698210
"Ministre de l’Environnement, de l’Energie, de l’Eau et de l’Assainissement",Q114698220
"Ministre de l’Urbanisme, des Affaires Foncières et de l’Habitat",Q114698273
Ministre de l’Économie des Finances et de la Prospective,Q98846005
Ministre des Affaires Religieuses et Coutumières,Q114703309
"Ministre des Affaires Étrangères, de la Coopération Régionale et des Burkinabé de l’Extérieur",Q18204360
Ministre des Infrastructures et du Désenclavement,Q114698286
Ministre des Mines et des Carrières,Q114698280
"Ministre des Sports, de la Jeunesse et de l’Emploi",Q114698321
"Ministre des Transports, de la Mobilité Urbaine et de la Sécurité Routière",Q114698339
"Ministre du Développement Industriel, du Commerce, de l’Artisanat et des Petites et Moyennes Entreprises",Q114698255
Ministre du Genre et de la Famille,Q114698063
Ministre d’Etat Ministre de la Défense et des Anciens Combattants,Q113961433
"Ministre d’Etat auprès du Président du Faso, chargé de la Cohésion Sociale et de la Réconciliation Nationale",Q114702987
