item,itemLabel,startDate,endDate
Q620581,Kadré Désiré Ouedraogo,1996-02-06,2000-11-07
Q434742,Paramanga Ernest Yonli,2000-11-07,2007-06-11
Q354710,Tertius Zongo,2007-06-11,2011-04-18
Q57882,Luc-Adolphe Tiao,2011-04-18,2014-10-30
Q18402168,Yacouba Isaac Zida,2014-11-19,2015-09-17
Q18402168,Yacouba Isaac Zida,2015-09-23,2015-12-29
Q22043905,Paul Kaba Thieba,2016-01-06,2019-01-19
Q60813372,Christophe Joseph Marie Dabiré,2019-01-24,2021-12-10
Q21062160,Lassina Zerbo,2021-12-10,2022-01-24
Q111131079,Albert Ouédraogo,2022-03-03,2022-09-30
,Appolinaire Joachim Kyelem de Tambela,2022-10-21,
