ordinal,item,itemLabel,inception,inceptionPrecision,abolished,abolishedPrecision,replaces,replacesLabel,replacedBy,replacedByLabel
,Q16639691,1st Yaméogo Cabinet,1958-12-11,11,,,,,Q16639692,2nd Yaméogo Cabinet
,Q16639692,2nd Yaméogo Cabinet,1960-09-07,11,1961-05-02,11,Q16639691,1st Yaméogo Cabinet,,
,Q17629223,2nd Government of Paramanga Ernest Yonli,2006-01-06,11,2007-06-04,11,,,Q17629227,Zongo Cabinet
,Q17629227,Zongo Cabinet,2007-06-04,11,2011-04-20,11,Q17629223,2nd Government of Paramanga Ernest Yonli,Q3112243,Tiao Cabinet
,Q3112243,Tiao Cabinet,2011-04-21,11,2014-10-30,11,Q17629227,Zongo Cabinet,Q21656728,Zida Cabinet
,Q21656728,Zida Cabinet,2014-11-23,11,2016-01-06,11,Q3112243,Tiao Cabinet,Q25382694,Thiéba Cabinet
,Q25382694,Thiéba Cabinet,2016-01-06,11,2019-01-19,11,Q21656728,Zida Cabinet,,
,Q65154259,1st Dabiré Cabinet,2019-01-24,11,2020-12-30,11,,,,
,Q111209247,2nd Dabiré Cabinet,2021-01-10,11,2021-12-10,11,,,Q114701753,Zorbo Cabinet
,Q114701753,Zorbo Cabinet,2021-12-10,11,2022-01-23,11,Q111209247,2nd Dabiré Cabinet,Q114703163,Albert Ouédraogo Cabinet
,Q114703163,Albert Ouédraogo Cabinet,2022-03-01,11,,,Q114701753,Zorbo Cabinet,,
