position,title
Q20995488,President
Q28133105,Prime Minister
Q114698182,Minister of Agriculture
Q114698306,Minister of Animal and Fishing Resources
Q114698027,Minister of Communication
Q114698053,"Minister of Culture, Arts, and Tourism"
Q113961433,Minister of Defence
Q113623389,"Minister of Digital Transition, Posts and Electronic Communications"
Q112709348,Minister of Education
Q114698280,Minister of Energy and Mines
Q114698220,Minister of Environment
Q98846005,Minister of Finance
Q18204360,Minister of Foreign Affairs
Q112030491,Minister of Health
Q114698210,Minister of Higher Education
Q114698255,Minister of Industry and Commerce
Q114698286,Minister of Infrastructure
Q114698148,Minister of Justice
Q114703304,Minister of National Solidarity and Humanitarian Action
Q114702993,Minister of Prospective and Structural Reforms
Q114698388,Minister of Public Service
Q114703309,Minister of Religious Affairs
Q114698152,Minister of Security
Q114702987,Minister for Social Cohesion and National Reconciliation
Q114698321,Minister of Sports and Recreation
Q114698173,Minister of Territorial Administration
Q114698339,Minister of Transport
Q114698273,Minister of Urban Planning and Housing
Q114698190,Minister of Water
Q114698063,Minister of Women
Q114698133,Minister of Youth
Q114702985,Minister Delegate for Communication
Q114702976,Minister Delegate for Econmy
Q114702981,Minister Delegate for Foreign Affairs
Q94701165,President of the National Assembly
